CODIGO;CATEGORIA;DESCRICAO;DIMENSAO;UNIDADE;MATERIAL;TIPO
RU1571;RU_DRENO;TUBO CORRUGADO PERFURADO 170MM - DRENO;1;MT;PEAD;TUBO
RU1572;RU_DRENO;TUBO CORRUGADO PERFURADO 230MM - DRENO;1;MT;PEAD;TUBO
RU1573;RU_DRENO;TUBO CORRUGADO NAO PERFURADO 65MM - DRENO;1;MT;PEAD;TUBO
RU1574;RU_DRENO;TUBO CORRUGADO NAO PERFURADO 80MM - DRENO;1;MT;PEAD;TUBO
RU1575;RU_DRENO;TUBO CORRUGADO NAO PERFURADO 100MM - DRENO;1;MT;PEAD;TUBO
RU1576;RU_DRENO;TUBO CORRUGADO NAO PERFURADO 170MM - DRENO;1;MT;PEAD;TUBO
RU1577;RU_DRENO;TUBO CORRUGADO NAO PERFURADO 230MM - DRENO;1;MT;PEAD;TUBO
RU1578;RU_DRENO;CONEXAO DE TUBO CORRUGADO 65MM - DRENO;1;PC;PEAD;-
RU1579;RU_DRENO;CONEXAO DE TUBO CORRUGADO 80MM - DRENO;1;PC;PEAD;-
RU1580;RU_DRENO;CONEXAO DE TUBO CORRUGADO 100MM - DRENO;1;PC;PEAD;-
RU1581;RU_DRENO;CONEXAO DE TUBO CORRUGADO 170MM - DRENO;1;PC;PEAD;-
RU1582;RU_DRENO;CONEXAO DE TUBO CORRUGADO 230MM - DRENO;1;PC;PEAD;-
RU1583;RU_DRENO;TAMPAO DE TUBO CORRUGADO 65MM - DRENO;1;PC;PEAD;-
RU1584;RU_DRENO;TAMPAO DE TUBO CORRUGADO 80MM - DRENO;1;PC;PEAD;-
RU1585;RU_DRENO;TAMPAO DE TUBO CORRUGADO 100MM - DRENO;1;PC;PEAD;-
RU1586;RU_DRENO;TAMPAO DE TUBO CORRUGADO 170MM - DRENO;1;PC;PEAD;-
RU1587;RU_DRENO;TAMPAO DE TUBO CORRUGADO 230MM - DRENO;1;PC;PEAD;-
RU1588;RU_DRENO;REDUCAO DE TUBO CURRUGADO 230X170X100MM;1;PC;PEAD;-
RU1589;RU_DRENO;REDUCAO DE TUBO CURRUGADO 170X100X65MM;1;PC;PEAD;-
RU1590;RU_DRENO;"CONEXAO ""T"" DE TUBO CORRUGADO 65X65MM";1;PC;PEAD;-
RU1591;RU_DRENO;"CONEXAO ""T"" DE TUBO CORRUGADO 80X100MM";1;PC;PEAD;-
RU1592;RU_DRENO;"CONEXAO ""T"" DE TUBO CORRUGADO 100X100";1;PC;PEAD;-
RU1593;RU_DRENO;"CONEXAO ""T"" DE TUBO CORRUGADO 170X100";1;PC;PEAD;-
RU1594;RU_DRENO;"CONEXAO ""T"" DE TUBO CORRUGADO 170X170";1;PC;PEAD;-
RU1595;RU_DRENO;"CONEXAO ""T"" DE TUBO CORRUGADO 230X100";1;PC;PEAD;-
RU1596;RU_DRENO;"CONEXAO ""T"" DE TUBO CORRUGADO 230X230";1;PC;PEAD;-
